gameid,team,date,gf,ga,g_plusminus,xg_plusminus,poss_value,off_the_puck,gax,gsax,xga,pass_carry_dump,faceoff_def,rookie_F,rookie_D,rookie_G,xgf,xga_target
52109,DET,2021-10-19,4.0,1.0,3.0,3.0,-0.1760364353970624,-0.11522439117539607,0.048282935570430424,-0.058914683253832284,-0.0036688926749519814,-0.1259379417985338,-0.050098493598528554,0.0,5.7073170731707314,0.975609756097561,5.103965816670097,2.148165838094425
52110,CHI,2021-10-19,1.0,4.0,-3.0,-3.0,-0.14716977164147943,-0.0973526295994428,-0.07048355958579039,-0.20625095192680803,0.3130355211979893,-0.11659667794353795,-0.030573093697941436,0.0,5.585365853658537,0.9512195121951219,3.2286421890603365,2.1364086612593374
52111,NSH,2021-10-19,2.0,1.0,1.0,1.0,-0.16731909506056217,-0.22459556361274013,-0.04983392864408547,-0.11707431609598189,-0.015816558139562613,-0.12737255669870023,-0.039946538361861905,0.0,5.780487804878049,0.9512195121951219,4.282900144811717,2.3888579056365367
52112,MIN,2021-10-19,6.0,5.0,1.0,1.0,-0.11872636458941202,-0.05300395189077495,-0.03955175868068481,-0.08613375961720875,-0.1989556130733152,-0.09368141021156162,-0.025044954377850356,0.0,5.7073170731707314,0.9512195121951219,5.009766995441166,2.8240278810262645
52113,EDM,2021-10-19,6.0,5.0,1.0,1.0,-0.1622427996772501,-0.13048032714375044,0.0062918830346755765,-0.14951431170229917,-0.0018625756727555318,-0.11685329995894159,-0.04538949971830848,0.0,5.7317073170731705,1.951219512195122,3.926909424248146,2.2335484677460022
52114,PHI,2021-10-20,6.0,3.0,3.0,3.0,-0.1404617389136769,-0.21269670171423138,0.06563965641395567,-0.11834373338635562,-0.11725794415851251,-0.10791753997865447,-0.03254419893502239,0.0,5.7560975609756095,1.0,3.506429489934815,2.914797506062314
52115,VGK,2021-10-20,1.0,3.0,-2.0,-2.0,-0.13370762791759275,-0.18158134825938851,-0.02147179739611426,-0.1496843342456291,0.14286054310208945,-0.10706150572426879,-0.026646122193323907,0.0,5.7073170731707314,0.9512195121951219,3.4715804424486167,4.0821998256724354
52116,MTL,2021-10-21,1.0,4.0,-3.0,-3.0,-0.1437310004649789,-0.1658556913323427,-0.18875087131154744,-0.06429267514613451,0.1627025800865153,-0.11204803246716731,-0.031682967997811555,0.0,5.414634146341464,0.926829268292683,3.065614388382523,3.245195713941941
52117,OTT,2021-10-21,1.0,2.0,-1.0,-1.0,-0.11393437504963504,-0.19546080440514996,-0.07485649496686755,-0.11834373338635562,0.2212525402164708,-0.07602710966905547,-0.03790726538057953,0.0,5.609756097560976,1.0,3.375207622419108,3.0942294121487093
52118,FLA,2021-10-21,4.0,1.0,3.0,3.0,-0.06965342680455676,0.18241879622185642,0.018690338625591107,-0.06541729677132885,0.20273556346197114,-0.045204631593735625,-0.024448795210821116,0.0,5.609756097560976,0.9512195121951219,2.611782990163192,3.5179731760872475
52119,NJD,2021-10-21,1.0,4.0,-3.0,-3.0,-0.15321959445940989,-0.17909149003306676,-0.05386262551184184,-0.11834373338635562,-0.030053206443005607,-0.12933843028903724,-0.023881164170372594,0.0,6.7317073170731705,1.0,2.2999116784194498,2.6817835492547624
52120,CBJ,2021-10-21,3.0,2.0,1.0,1.0,-0.14254934849436163,-0.231861105265795,0.02986054554424202,-0.05281195319374467,0.2145258689315188,-0.10825691376497097,-0.034292434729390635,0.0,5.585365853658537,0.9512195121951219,2.3145377780310845,2.4472135349642494
52121,DET,2021-10-21,0.0,3.0,-3.0,-3.0,-0.13897686564485234,0.027611025570585597,-0.004056382058839625,-0.11264886840846064,-0.0021582244995305877,-0.08893094926356947,-0.05004591638128284,0.0,5.560975609756098,0.975609756097561,1.7653930444503183,2.386805106769318
52122,NSH,2021-10-21,1.0,3.0,-2.0,-2.0,-0.15729740634228723,-0.09036910792357927,-0.10286557515940385,-0.08965744898933516,-0.05149290636607261,-0.11123796731571953,-0.04605943902656767,0.0,5.634146341463415,0.926829268292683,2.577098382287662,4.28500260622241
52123,WPG,2021-10-21,5.0,1.0,4.0,4.0,-0.20509736980489796,-0.19931935221572758,0.04011665221616658,-0.1454568709002665,0.18296782055563973,-0.14401279256901967,-0.06108457723587827,0.0,6.536585365853659,0.926829268292683,2.038014348247086,2.9179879603907457
52124,CHI,2021-10-21,1.0,4.0,-3.0,-3.0,-0.10326822576299535,0.008287558880094713,-0.11070690909460065,-0.09417047973751044,0.2564122798851532,-0.07688193916471772,-0.0263862865982776,0.0,5.439024390243903,0.9512195121951219,2.3413807237520854,3.221486713970081
52125,ARI,2021-10-21,1.0,5.0,-4.0,-4.0,-0.1230547757619141,-0.025503898106734577,-0.12069695501323242,-0.02926046064038053,0.15030787952632213,-0.08810541618239086,-0.034949359579523234,0.0,5.634146341463415,0.9512195121951219,1.758639802224933,3.395459889667109
52126,TOR,2021-10-22,3.0,5.0,-2.0,-2.0,-0.00238870406302584,0.5647454424777331,-0.303297848939038,-0.11834373338635562,0.12595292186442586,0.016073629809975586,-0.0184623338730014,0.0,5.439024390243903,1.0,3.642922058759726,3.197317684069276
52127,BUF,2021-10-22,1.0,4.0,-3.0,-3.0,-0.08105046103676464,0.2910604370519847,-0.060080120500881386,-0.09740166296947461,-0.13568980356131968,-0.04463089640387992,-0.03641956463288471,0.0,5.585365853658537,0.9512195121951219,2.2527285731630418,3.236755755497148
